set, measurements,,,,set,measure,n,t,inv measure,FOPDT,,Ts,,Td,L,K,du,y0
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9759,,,,,,,,,,,,,,,,,
0.3018,-2.9745,,,,,,,,,,,,,,,,,
0.3018,-2.9782,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8966,,,,,,,,,,,,,,,,,
0.3018,-2.8971,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8571,,,,,,,,,,,,,,,,,
0.3018,-2.8949,,,,,,,,,,,,,,,,,
0.3018,-2.8789,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9561,,,,,,,,,,,,,,,,,
0.3018,-2.9566,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.996,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9561,,,,,,,,,,,,,,,,,
0.3018,-2.9745,,,,,,,,,,,,,,,,,
0.3018,-2.9385,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.8767,,,,,,,,,,,,,,,,,
0.3018,-2.8772,,,,,,,,,,,,,,,,,
0.3018,-2.877,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.8968,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9167,,,,,,,,,,,,,,,,,
0.3018,-2.9346,,,,,,,,,,,,,,,,,
0.3018,-2.9186,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9759,,,,,,,,,,,,,,,,,
0.3018,-2.9566,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9363,,,,,,,,,,,,,,,,,
0.3018,-2.9546,,,,,,,,,,,,,,,,,
0.3018,-2.9385,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9365,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9563,,,,,,,,,,,,,,,,,
0.3018,-2.9759,,,,,,,,,,,,,,,,,
0.3018,-2.9764,,,,,,,,,,,,,,,,,
0.3018,-2.9762,,,,,,,,,,,,,,,,,
0.3018,-2.996,,,,,,,,,,,,,,,,,
